0;aaa;I L       Ghotuo
1;aab;I L       Alumu-Tesu
2;aac;I L       Ari
3;aad;I L       Amal
4;aae;I L       Arbëreshë Albanian
5;aaf;I L       Aranadan
6;aag;I L       Ambrak
7;aah;I L       Abu' Arapesh
8;aai;I L       Arifama-Miniafia
10;aak;I        L       Ankave
11;aal;I        L       Afade
13;aan;I        L       Anambé
14;aao;I        L       Algerian Saharan Arabic
15;aap;I        L       Pará Arára
16;aaq;I        E       Eastern Abnaki
17;aar;aar      aar     aa      I       L       Afar
18;aas;I        L       Aasáx
19;aat;I        L       Arvanitika Albanian
20;aau;I        L       Abau
22;aaw;I        L       Solong
23;aax;I        L       Mandobo Atas
25;aaz;I        L       Amarasi
26;aba;I        L       Abé
27;abb;I        L       Bankon
28;abc;I        L       Ambala Ayta
29;abd;I        L       Manide
30;abe;I        L       Western Abnaki
31;abf;I        L       Abai Sungai
32;abg;I        L       Abaga
33;abh;I        L       Tajiki Arabic
34;abi;I        L       Abidji
35;abj;I        E       Aka-Bea
36;abk;abk      abk     ab      I       L       Abkhazian
37;abl;I        L       Lampung Nyo
38;abm;I        L       Abanyom
39;abn;I        L       Abua
40;abo;I        L       Abon
41;abp;I        L       Abellen Ayta
42;abq;I        L       Abaza
43;abr;I        L       Abron
44;abs;I        L       Ambonese Malay
45;abt;I        L       Ambulas
46;abu;I        L       Abure
47;abv;I        L       Baharna Arabic
48;abw;I        L       Pal
49;abx;I        L       Inabaknon
50;aby;I        L       Aneme Wake
51;abz;I        L       Abui
52;aca;I        L       Achagua
53;acb;I        L       Áncá
55;acd;I        L       Gikyode
56;ace;ace      ace             I       L       Achinese
57;acf;I        L       Saint Lucian Creole French
59;ach;ach      ach             I       L       Acoli
60;aci;I        E       Aka-Cari
62;ack;I        E       Aka-Kora
63;acl;I        E       Akar-Bale
64;acm;I        L       Mesopotamian Arabic
65;acn;I        L       Achang
67;acp;I        L       Eastern Acipa
68;acq;I        L       Ta'izzi-Adeni Arabic
69;acr;I        L       Achi
70;acs;I        E       Acroá
71;act;I        L       Achterhoeks
72;acu;I        L       Achuar-Shiwiar
73;acv;I        L       Achumawi
74;acw;I        L       Hijazi Arabic
75;acx;I        L       Omani Arabic
76;acy;I        L       Cypriot Arabic
77;acz;I        L       Acheron
78;ada;ada      ada             I       L       Adangme
79;adb;I        L       Atauran
81;add;I        L       Lidzonka
82;ade;I        L       Adele
83;adf;I        L       Dhofari Arabic
84;adg;I        L       Andegerebinha
85;adh;I        L       Adhola
86;adi;I        L       Adi
87;adj;I        L       Adioukrou
89;adl;I        L       Galo
91;adn;I        L       Adang
92;ado;I        L       Abu
94;adq;I        L       Adangbe
95;adr;I        L       Adonara
96;ads;I        L       Adamorobe Sign Language
97;adt;I        L       Adnyamathanha
98;adu;I        L       Aduge
100;adw;I       L       Amundava
101;adx;I       L       Amdo Tibetan
102;ady;ady     ady             I       L       Adyghe
103;adz;I       L       Adzera
104;aea;I       E       Areba
105;aeb;I       L       Tunisian Arabic
106;aec;I       L       Saidi Arabic
107;aed;I       L       Argentine Sign Language
108;aee;I       L       Northeast Pashai
114;aek;I       L       Haeke
115;ael;I       L       Ambele
116;aem;I       L       Arem
117;aen;I       L       Armenian Sign Language
120;aeq;I       L       Aer
121;aer;I       L       Eastern Arrernte
122;aes;I       E       Alsea
124;aeu;I       L       Akeu
126;aew;I       L       Ambakich
128;aey;I       L       Amele
129;aez;I       L       Aeka
131;afb;I       L       Gulf Arabic
133;afd;I       L       Andai
134;afe;I       L       Putukwam
136;afg;I       L       Afghan Sign Language
137;afh;afh     afh             I       C       Afrihili
138;afi;I       L       Akrukay
140;afk;I       L       Nanubae
143;afn;I       L       Defaka
144;afo;I       L       Eloyi
145;afp;I       L       Tapei
147;afr;afr     afr     af      I       L       Afrikaans
148;afs;I       L       Afro-Seminole Creole
149;aft;I       L       Afitti
150;afu;I       L       Awutu
155;afz;I       L       Obokuitai
156;aga;I       E       Aguano
157;agb;I       L       Legbo
158;agc;I       L       Agatu
159;agd;I       L       Agarabi
160;age;I       L       Angal
161;agf;I       L       Arguni
162;agg;I       L       Angor
163;agh;I       L       Ngelima
164;agi;I       L       Agariya
165;agj;I       L       Argobba
166;agk;I       L       Isarog Agta
167;agl;I       L       Fembe
168;agm;I       L       Angaataha
169;agn;I       L       Agutaynen
170;ago;I       L       Tainae
172;agq;I       L       Aghem
173;agr;I       L       Aguaruna
174;ags;I       L       Esimbi
175;agt;I       L       Central Cagayan Agta
176;agu;I       L       Aguacateco
177;agv;I       L       Remontado Dumagat
178;agw;I       L       Kahua
179;agx;I       L       Aghul
180;agy;I       L       Southern Alta
181;agz;I       L       Mt. Iriga Agta
182;aha;I       L       Ahanta
183;ahb;I       L       Axamb
188;ahg;I       L       Qimant
189;ahh;I       L       Aghu
190;ahi;I       L       Tiagbamrin Aizi
192;ahk;I       L       Akha
193;ahl;I       L       Igo
194;ahm;I       L       Mobumrin Aizi
195;ahn;I       L       Àhàn
196;aho;I       E       Ahom
197;ahp;I       L       Aproumu Aizi
199;ahr;I       L       Ahirani
200;ahs;I       L       Ashe
201;aht;I       L       Ahtena
208;aia;I       L       Arosi
209;aib;I       L       Ainu (China)
210;aic;I       L       Ainbai
211;aid;I       E       Alngith
212;aie;I       L       Amara
213;aif;I       L       Agi
214;aig;I       L       Antigua and Barbuda Creole English
